"","look","sum","output"
"1","aaron",74,"rodgers"
"2","abc",56,"s"
"3","able",261,"get"
"4","abraham",87,"lincoln"
"5","absolutely",70,"love"
"6","academic",82,"year"
"7","academy",73,"awards"
"8","according",236,"report"
"9","accounts",73,"percent"
"10","across",445,"country"
"11","act",232,"like"
"12","acta",66,"said"
"13","acting",84,"like"
"14","action",68,"committee"
"15","actually",71,"pretty"
"16","adam",17638,"sandler"
"17","adams",113,"said"
"18","add",67,"another"
"19","added",113,"points"
"20","additional",81,"million"
"21","administration",237,"s"
"22","administrative",73,"leave"
"23","adult",72,"children"
"24","advisory",97,"board"
"25","advocacy",135,"group"
"26","affordable",126,"housing"
"27","african",143,"american"
"28","agency",237,"s"
"29","ages",61,"younger"
"30","aggravated",142,"assault"
"31","ago",120,"said"
"32","ahead",106,"time"
"33","ain",805,"t"
"34","air",17618,"live"
"35","airport",65,"security"
"36","akron",86,"ohio"
"37","al",126,"qaeda"
"38","albert",119,"pujols"
"39","aldridge",69,"said"
"40","allen",83,"said"
"41","allow",65,"us"
"42","allowed",63,"two"
"43","allows",76,"us"
"44","alma",68,"mater"
"45","almost",17611,"adam"
"46","along",185,"way"
"47","already",204,"know"
"48","also",710,"said"
"49","always",180,"good"
"50","alzheimer",140,"s"
"51","amazing",82,"day"
"52","america",528,"s"
"53","american",229,"idol"
"54","among",161,"things"
"55","amount",125,"time"
"56","analysts",92,"say"
"57","anderson",103,"said"
"58","andre",82,"miller"
"59","andrea",74,"sneiderman"
"60","andrew",87,"luck"
"61","angeles",128,"county"
"62","ann",108,"arbor"
"63","anne",88,"arundel"
"64","announced",119,"today"
"65","annual",76,"meeting"
"66","another",216,"day"
"67","answer",144,"questions"
"68","answered",17622,"presentation"
"69","answering",126,"questions"
"70","answers",68,"questions"
"71","anthony",70,"s"
"72","anybody",89,"else"
"73","anyone",489,"else"
"74","anything",17625,"see"
"75","anytime",101,"soon"
"76","anywhere",84,"else"
"77","apartment",106,"complex"
"78","appeals",90,"court"
"79","apple",239,"s"
"80","appreciate",84,"support"
"81","approximately",73,"million"
"82","april",165,"pm"
"83","arab",66,"spring"
"84","area",210,"s"
"85","arizona",237,"s"
"86","armed",93,"forces"
"87","arnold",73,"schwarzenegger"
"88","around",499,"world"
"89","arrested",85,"charged"
"90","art",154,"museum"
"91","artic",17613,"monkeys"
"92","artist",70,"s"
"93","artistic",115,"director"
"94","arts",145,"center"
"95","arundel",74,"county"
"96","asbury",82,"park"
"97","ask",119,"questions"
"98","asked",17613,"dessert"
"99","asking",67,"questions"
"100","ass",82,"ass"
"101","assembly",85,"speaker"
"102","assistant",149,"coach"
"103","associate",83,"professor"
"104","associated",617,"press"
"105","association",164,"said"
"106","athletic",174,"director"
"107","atlanta",67,"falcons"
"108","atlantic",344,"city"
"109","attempted",90,"murder"
"110","attention",67,"detail"
"111","attorney",632,"general"
"112","attorneys",67,"general"
"113","auburn",72,"hills"
"114","austin",77,"texas"
"115","authorities",460,"said"
"116","auto",89,"industry"
"117","available",78,"online"
"118","ave",73,"square"
"119","avenue",69,"pm"
"120","average",93,"percent"
"121","averaged",167,"points"
"122","averaging",192,"points"
"123","aviation",77,"administration"
"124","aw",80,"thanks"
"125","award",64,"winner"
"126","away",17639,"time"
"127","awesome",103,"thanks"
"128","awkward",235,"moment"
"129","aww",64,"thanks"
"130","baby",74,"girl"
"131","bachelor",141,"s"
"132","back",360,"home"
"133","bacon",17613,"bouquet"
"134","bad",426,"just"
"135","bagpipes",17615,"garage"
"136","bags",17614,"groceries"
"137","bail",57,"set"
"138","bake",70,"minutes"
"139","baked",93,"goods"
"140","baking",79,"sheet"
"141","balance",80,"budget"
"142","balanced",80,"budget"
"143","ball",60,"well"
"144","baltimore",132,"city"
"145","band",121,"s"
"146","bang",76,"theory"
"147","bank",202,"america"
"148","bankruptcy",113,"protection"
"149","baptist",145,"church"
"150","bar",62,"grill"
"151","barack",801,"obama"
"152","bargaining",101,"agreement"
"153","barnes",133,"noble"
"154","base",81,"salary"
"155","baseball",123,"team"
"156","bases",116,"loaded"
"157","basketball",145,"coach"
"158","bathroom",17615,"asked"
"159","batting",117,"average"
"160","bay",400,"area"
"161","beach",420,"thanks"
"162","beastie",117,"boys"
"163","beautiful",257,"day"
"164","became",162,"first"
"165","become",87,"one"
"166","becoming",64,"first"
"167","beer",412,"thanks"
"168","began",77,"working"
"169","beginning",75,"end"
"170","begins",90,"pm"
"171","behind",108,"scenes"
"172","believe",111,"can"
"173","bell",55,"s"
"174","belle",89,"isle"
"175","ben",65,"bernanke"
"176","bergen",104,"county"
"177","best",464,"friend"
"178","better",149,"way"
"179","beverly",135,"hills"
"180","big",268,"ten"
"181","biggest",95,"thing"
"182","bike",62,"ride"
"183","bill",92,"s"
"184","billion",181,"billion"
"185","billions",145,"dollars"
"186","bills",17610,"game"
"187","bin",384,"laden"
"188","bipartisan",67,"support"
"189","birth",121,"control"
"190","birthday",91,"party"
"191","bit",78,"like"
"192","black",153,"white"
"193","blah",84,"blah"
"194","blake",65,"griffin"
"195","blazers",66,"will"
"196","block",106,"south"
"197","blocked",73,"shots"
"198","blocks",70,"away"
"199","blog",150,"post"
"200","blood",206,"pressure"
"201","blown",84,"away"
"202","blue",105,"jays"
"203","board",368,"members"
"204","body",91,"found"
"205","boise",61,"state"
"206","bon",70,"jovi"
"207","bond",66,"issue"
"208","book",69,"club"
"209","booker",61,"said"
"210","boot",61,"camp"
"211","border",128,"security"
"212","born",74,"raised"
"213","boston",73,"red"
"214","bottled",68,"water"
"215","bottom",17615,"top"
"216","bought",17612,"pound"
"217","bounced",73,"back"
"218","bouquet",17612,"case"
"219","bout",66,"go"
"220","bowl",61,"xlvi"
"221","box",160,"office"
"222","boy",114,"s"
"223","boys",111,"girls"
"224","brain",77,"injury"
"225","branch",71,"library"
"226","brand",159,"new"
"227","brandon",93,"roy"
"228","bread",70,"pudding"
"229","breakfast",68,"lunch"
"230","breaking",130,"news"
"231","breast",306,"cancer"
"232","breathe",17612,"want"
"233","brett",66,"favre"
"234","brewing",64,"co"
"235","bright",61,"side"
"236","bring",201,"back"
"237","bringing",77,"back"
"238","brings",74,"back"
"239","britain",110,"s"
"240","brook",64,"park"
"241","brother",100,"s"
"242","brought",114,"back"
"243","brown",237,"said"
"244","browns",61,"will"
"245","bruce",75,"springsteen"
"246","bruises",17615,"playing"
"247","bucket",17616,"challenge"
"248","bud",67,"light"
"249","budget",170,"cuts"
"250","build",121,"new"
"251","building",135,"s"
"252","burger",78,"king"
"253","bus",98,"driver"
"254","bush",108,"administration"
"255","business",116,"leaders"
"256","busy",100,"day"
"257","buy",84,"new"
"258","bye",61,"bye"
"259","byron",66,"scott"
"260","c",151,"mon"
"261","cabernet",78,"sauvignon"
"262","cable",63,"tv"
"263","cake",114,"cake"
"264","california",305,"s"
"265","call",133,"us"
"266","called",126,"police"
"267","calories",201,"g"
"268","cam",68,"newton"
"269","camden",92,"county"
"270","came",272,"back"
"271","camino",86,"real"
"272","campaign",140,"finance"
"273","can",35336,"follow"
"274","candidate",62,"s"
"275","cant",449,"wait"
"276","cape",87,"may"
"277","capitol",96,"hill"
"278","captain",122,"america"
"279","car",92,"wash"
"280","carbohydrate",174,"g"
"281","cards",69,"accepted"
"282","care",99,"act"
"283","career",67,"high"
"284","carmelo",72,"anthony"
"285","carney",61,"said"
"286","cars",62,"trucks"
"287","case",17621,"beer"
"288","catholic",155,"church"
"289","caught",67,"fire"
"290","cause",111,"death"
"291","cbs",61,"news"
"292","cedar",63,"fair"
"293","cell",374,"phone"
"294","census",95,"bureau"
"295","center",221,"s"
"296","centers",103,"disease"
"297","central",127,"bank"
"298","cents",267,"per"
"299","century",61,"ago"
"300","chagrin",86,"falls"
"301","chairman",65,"ben"
"302","challenge",17615,"louis"
"303","chamber",225,"commerce"
"304","champions",80,"league"
"305","championship",268,"game"
"306","chance",204,"win"
"307","change",94,"world"
"308","changes",70,"will"
"309","chapter",71,"bankruptcy"
"310","charged",69,"possession"
"311","charges",105,"filed"
"312","charles",149,"county"
"313","charter",227,"schools"
"314","check",148,"us"
"315","chef",75,"s"
"316","chicago",196,"s"
"317","chicken",74,"wings"
"318","chief",664,"executive"
"319","child",199,"s"
"320","childhood",17616,"filled"
"321","children",637,"s"
"322","china",285,"s"
"323","chinese",65,"food"
"324","chip",62,"kelly"
"325","chocolate",66,"chip"
"326","cholesterol",116,"mg"
"327","chris",363,"christie"
"328","christie",303,"said"
"329","christmas",94,"eve"
"330","chrysler",96,"s"
"331","church",140,"s"
"332","churchill",75,"downs"
"333","cinco",215,"de"
"334","circuit",223,"court"
"335","city",1361,"s"
"336","civic",62,"center"
"337","civil",251,"rights"
"338","clackamas",152,"county"
"339","clara",66,"county"
"340","clark",77,"said"
"341","class",140,"a"
"342","classical",83,"music"
"343","clean",90,"water"
"344","cleveland",412,"ohio"
"345","client",69,"s"
"346","climate",156,"change"
"347","clinic",60,"s"
"348","clinical",74,"trials"
"349","close",102,"friends"
"350","closed",70,"doors"
"351","closing",68,"arguments"
"352","club",157,"s"
"353","co",64,"s"
"354","coach",165,"mike"
"355","coaching",176,"staff"
"356","coast",188,"guard"
"357","coffee",103,"shop"
"358","cold",69,"water"
"359","collective",270,"bargaining"
"360","college",218,"football"
"361","colleges",110,"universities"
"362","collins",72,"said"
"363","colorado",98,"s"
"364","colt",88,"mccoy"
"365","columbia",77,"university"
"366","columbus",166,"ohio"
"367","come",779,"back"
"368","comerica",62,"park"
"369","comes",94,"back"
"370","comfort",62,"zone"
"371","comic",62,"book"
"372","coming",410,"back"
"373","comment",61,"guy"
"374","commerce",104,"department"
"375","commercial",71,"real"
"376","commission",107,"s"
"377","commissioner",82,"roger"
"378","committed",95,"suicide"
"379","committee",134,"said"
"380","common",171,"sense"
"381","community",332,"college"
"382","company",1231,"s"
"383","compared",125,"percent"
"384","completely",120,"different"
"385","condition",102,"anonymity"
"386","conference",211,"call"
"387","conflict",78,"interest"
"388","congrats",73,"new"
"389","congressional",115,"district"
"390","consecutive",82,"games"
"391","constitutional",123,"amendment"
"392","construction",70,"workers"
"393","consulting",107,"firm"
"394","consumer",107,"spending"
"395","contact",109,"us"
"396","contemporary",128,"art"
"397","continue",83,"work"
"398","contributed",306,"report"
"399","control",91,"prevention"
"400","convention",210,"center"
"401","conventional",72,"wisdom"
"402","cook",137,"county"
"403","cool",60,"stuff"
"404","coroner",69,"s"
"405","corp",57,"s"
"406","corps",70,"engineers"
"407","cory",75,"booker"
"408","cost",121,"million"
"409","costa",76,"mesa"
"410","council",325,"members"
"411","country",481,"s"
"412","county",578,"s"
"413","couple",332,"years"
"414","course",77,"will"
"415","court",276,"judge"
"416","cover",69,"refrigerate"
"417","cream",69,"cheese"
"418","create",177,"jobs"
"419","creating",88,"jobs"
"420","credit",239,"cards"
"421","crew",90,"members"
"422","criminal",142,"justice"
"423","critical",88,"condition"
"424","critics",105,"say"
"425","cross",134,"country"
"426","cruise",62,"ship"
"427","cubic",63,"feet"
"428","cumberland",79,"county"
"429","cup",107,"coffee"
"430","current",73,"former"
"431","customer",213,"service"
"432","customers",66,"can"
"433","customs",74,"enforcement"
"434","cut",132,"back"
"435","cutest",17623,"thing"
"436","cuts",60,"state"
